"Time Stamp","Time Zone","Name","PTID","Load"
"12/06/2024 00:00:00","EST","CAPITL",61757,1375.77
"12/06/2024 00:00:00","EST","CENTRL",61754,1824.9058
"12/06/2024 00:00:00","EST","DUNWOD",61760,637.4673
"12/06/2024 00:00:00","EST","GENESE",61753,1094.8439
"12/06/2024 00:00:00","EST","HUD VL",61758,1153.1313
"12/06/2024 00:00:00","EST","LONGIL",61762,2149.8755
"12/06/2024 00:00:00","EST","MHK VL",61756,917.208
"12/06/2024 00:00:00","EST","MILLWD",61759,326.8115
"12/06/2024 00:00:00","EST","N.Y.C.",61761,5296.2383
"12/06/2024 00:00:00","EST","NORTH",61755,692.2097
"12/06/2024 00:00:00","EST","WEST",61752,1799.7043
"12/06/2024 00:05:00","EST","CAPITL",61757,1371.6245
"12/06/2024 00:05:00","EST","CENTRL",61754,1785.7542
"12/06/2024 00:05:00","EST","DUNWOD",61760,637.9846
"12/06/2024 00:05:00","EST","GENESE",61753,1089.43
"12/06/2024 00:05:00","EST","HUD VL",61758,1127.7065
"12/06/2024 00:05:00","EST","LONGIL",61762,2137.5962
"12/06/2024 00:05:00","EST","MHK VL",61756,933.4537
"12/06/2024 00:05:00","EST","MILLWD",61759,323.5674
"12/06/2024 00:05:00","EST","N.Y.C.",61761,5247.705
"12/06/2024 00:05:00","EST","NORTH",61755,694.7304
"12/06/2024 00:05:00","EST","WEST",61752,1792.4335
"12/06/2024 00:10:00","EST","CAPITL",61757,1371.0989
"12/06/2024 00:10:00","EST","CENTRL",61754,1837.0908
"12/06/2024 00:10:00","EST","DUNWOD",61760,641.1539
"12/06/2024 00:10:00","EST","GENESE",61753,1085.0381
"12/06/2024 00:10:00","EST","HUD VL",61758,1138.5928
"12/06/2024 00:10:00","EST","LONGIL",61762,2115.9238
"12/06/2024 00:10:00","EST","MHK VL",61756,903.1335
"12/06/2024 00:10:00","EST","MILLWD",61759,335.207
"12/06/2024 00:10:00","EST","N.Y.C.",61761,5237.6504
"12/06/2024 00:10:00","EST","NORTH",61755,712.0984
"12/06/2024 00:10:00","EST","WEST",61752,1766.5422
"12/06/2024 00:15:00","EST","CAPITL",61757,1375.9403
"12/06/2024 00:15:00","EST","CENTRL",61754,1809.3057
"12/06/2024 00:15:00","EST","DUNWOD",61760,633.5331
"12/06/2024 00:15:00","EST","GENESE",61753,1076.6412
"12/06/2024 00:15:00","EST","HUD VL",61758,1107.286
"12/06/2024 00:15:00","EST","LONGIL",61762,2108.8438
"12/06/2024 00:15:00","EST","MHK VL",61756,912.8962
"12/06/2024 00:15:00","EST","MILLWD",61759,340.6802
"12/06/2024 00:15:00","EST","N.Y.C.",61761,5212.44
"12/06/2024 00:15:00","EST","NORTH",61755,715.084
"12/06/2024 00:15:00","EST","WEST",61752,1766.6205
"12/06/2024 00:20:00","EST","CAPITL",61757,1365.8716
"12/06/2024 00:20:00","EST","CENTRL",61754,1816.1257
"12/06/2024 00:20:00","EST","DUNWOD",61760,635.7548
"12/06/2024 00:20:00","EST","GENESE",61753,1071.9491
"12/06/2024 00:20:00","EST","HUD VL",61758,1113.6047
"12/06/2024 00:20:00","EST","LONGIL",61762,2088.1838
"12/06/2024 00:20:00","EST","MHK VL",61756,916.8173
"12/06/2024 00:20:00","EST","MILLWD",61759,336.3949
"12/06/2024 00:20:00","EST","N.Y.C.",61761,5181.1562
"12/06/2024 00:20:00","EST","NORTH",61755,708.0826
"12/06/2024 00:20:00","EST","WEST",61752,1796.189
"12/06/2024 00:25:00","EST","CAPITL",61757,1352.6694
"12/06/2024 00:25:00","EST","CENTRL",61754,1802.0583
"12/06/2024 00:25:00","EST","DUNWOD",61760,640.3934
"12/06/2024 00:25:00","EST","GENESE",61753,1073.1464
"12/06/2024 00:25:00","EST","HUD VL",61758,1106.4797
"12/06/2024 00:25:00","EST","LONGIL",61762,2089.7715
"12/06/2024 00:25:00","EST","MHK VL",61756,926.3751
"12/06/2024 00:25:00","EST","MILLWD",61759,331.8976
"12/06/2024 00:25:00","EST","N.Y.C.",61761,5162.998
"12/06/2024 00:25:00","EST","NORTH",61755,701.3765
"12/06/2024 00:25:00","EST","WEST",61752,1784.8889
"12/06/2024 00:30:00","EST","CAPITL",61757,1355.7866
"12/06/2024 00:30:00","EST","CENTRL",61754,1808.773
"12/06/2024 00:30:00","EST","DUNWOD",61760,644.5725
"12/06/2024 00:30:00","EST","GENESE",61753,1068.0911
"12/06/2024 00:30:00","EST","HUD VL",61758,1123.9484
"12/06/2024 00:30:00","EST","LONGIL",61762,2083.4995
"12/06/2024 00:30:00","EST","MHK VL",61756,911.4199
"12/06/2024 00:30:00","EST","MILLWD",61759,328.3186
"12/06/2024 00:30:00","EST","N.Y.C.",61761,5117.7334
"12/06/2024 00:30:00","EST","NORTH",61755,707.8507
"12/06/2024 00:30:00","EST","WEST",61752,1773.4758
"12/06/2024 00:35:00","EST","CAPITL",61757,1355.4404
"12/06/2024 00:35:00","EST","CENTRL",61754,1768.3833
"12/06/2024 00:35:00","EST","DUNWOD",61760,635.6212
"12/06/2024 00:35:00","EST","GENESE",61753,1066.3724
"12/06/2024 00:35:00","EST","HUD VL",61758,1093.6451
"12/06/2024 00:35:00","EST","LONGIL",61762,2089.0115
"12/06/2024 00:35:00","EST","MHK VL",61756,909.9589
"12/06/2024 00:35:00","EST","MILLWD",61759,330.9459
"12/06/2024 00:35:00","EST","N.Y.C.",61761,5129.3276
"12/06/2024 00:35:00","EST","NORTH",61755,720.6282
"12/06/2024 00:35:00","EST","WEST",61752,1792.5293
"12/06/2024 00:40:00","EST","CAPITL",61757,1345.7557
"12/06/2024 00:40:00","EST","CENTRL",61754,1798.6658
"12/06/2024 00:40:00","EST","DUNWOD",61760,640.2227
"12/06/2024 00:40:00","EST","GENESE",61753,1070.367
"12/06/2024 00:40:00","EST","HUD VL",61758,1105.9128
"12/06/2024 00:40:00","EST","LONGIL",61762,2059.333
"12/06/2024 00:40:00","EST","MHK VL",61756,894.6891
"12/06/2024 00:40:00","EST","MILLWD",61759,326.3723
"12/06/2024 00:40:00","EST","N.Y.C.",61761,5078.088
"12/06/2024 00:40:00","EST","NORTH",61755,730.8138
"12/06/2024 00:40:00","EST","WEST",61752,1762.9072
"12/06/2024 00:45:00","EST","CAPITL",61757,1346.8262
"12/06/2024 00:45:00","EST","CENTRL",61754,1793.2922
"12/06/2024 00:45:00","EST","DUNWOD",61760,626.1593
"12/06/2024 00:45:00","EST","GENESE",61753,1063.5016
"12/06/2024 00:45:00","EST","HUD VL",61758,1093.4556
"12/06/2024 00:45:00","EST","LONGIL",61762,2069.9287
"12/06/2024 00:45:00","EST","MHK VL",61756,903.781
"12/06/2024 00:45:00","EST","MILLWD",61759,327.3207
"12/06/2024 00:45:00","EST","N.Y.C.",61761,5078.4863
"12/06/2024 00:45:00","EST","NORTH",61755,723.4106
"12/06/2024 00:45:00","EST","WEST",61752,1769.114
"12/06/2024 00:50:00","EST","CAPITL",61757,1338.6494
"12/06/2024 00:50:00","EST","CENTRL",61754,1808.4651
"12/06/2024 00:50:00","EST","DUNWOD",61760,628.1214
"12/06/2024 00:50:00","EST","GENESE",61753,1060.2905
"12/06/2024 00:50:00","EST","HUD VL",61758,1090.1415
"12/06/2024 00:50:00","EST","LONGIL",61762,2058.2458
"12/06/2024 00:50:00","EST","MHK VL",61756,893.1757
"12/06/2024 00:50:00","EST","MILLWD",61759,321.5974
"12/06/2024 00:50:00","EST","N.Y.C.",61761,5064.919
"12/06/2024 00:50:00","EST","NORTH",61755,718.144
"12/06/2024 00:50:00","EST","WEST",61752,1753.9355
"12/06/2024 00:55:00","EST","CAPITL",61757,1334.6956
"12/06/2024 00:55:00","EST","CENTRL",61754,1802.103
"12/06/2024 00:55:00","EST","DUNWOD",61760,632.6931
"12/06/2024 00:55:00","EST","GENESE",61753,1060.5201
"12/06/2024 00:55:00","EST","HUD VL",61758,1088.0758
"12/06/2024 00:55:00","EST","LONGIL",61762,2036.4799
"12/06/2024 00:55:00","EST","MHK VL",61756,893.3667
"12/06/2024 00:55:00","EST","MILLWD",61759,325.2284
"12/06/2024 00:55:00","EST","N.Y.C.",61761,5046.1064
"12/06/2024 00:55:00","EST","NORTH",61755,718.2893
"12/06/2024 00:55:00","EST","WEST",61752,1741.9625
"12/06/2024 01:00:00","EST","CAPITL",61757,1337.7056
"12/06/2024 01:00:00","EST","CENTRL",61754,1790.4136
"12/06/2024 01:00:00","EST","DUNWOD",61760,622.1943
"12/06/2024 01:00:00","EST","GENESE",61753,1060.3804
"12/06/2024 01:00:00","EST","HUD VL",61758,1081.0958
"12/06/2024 01:00:00","EST","LONGIL",61762,2026.4276
"12/06/2024 01:00:00","EST","MHK VL",61756,905.9547
"12/06/2024 01:00:00","EST","MILLWD",61759,322.4273
"12/06/2024 01:00:00","EST","N.Y.C.",61761,5024.0703
"12/06/2024 01:00:00","EST","NORTH",61755,711.9052
