t,t_新能源(MW),t_负荷(MW),t_火力调度(MW),t+1_负荷预测(MW),t+1_新能源预测(MW),t+1_调度结果(MW)
0,17684.14,5077.97,5016.85,4880.76,17672.5,4829.65
1,17672.5,4880.76,4829.65,4746.5,17734.99,4631.36
2,17734.99,4746.5,4631.36,4691.79,17768.19,4542.72
3,17768.19,4691.79,4542.72,4690.23,17761.56,4547.17
4,17761.56,4690.23,4547.17,4722.72,17714.71,4627.58
5,17714.71,4722.72,4627.58,4828.48,17691.96,4757.19
6,17691.96,4828.48,4757.19,4974.21,17667.41,4929.12
7,17667.41,4974.21,4929.12,5127.12,17715.26,5034.72
8,17715.26,5127.12,5034.72,5181.94,17670.08,5136.93
9,17670.08,5181.94,5136.93,5133.31,17741.81,5015.18
10,17741.81,5133.31,5015.18,5139.9,17709.79,5053.88
11,17709.79,5139.9,5053.88,5117.06,17773.25,4967.35
12,17773.25,5117.06,4967.35,5147.45,17812.7,4958.36
13,17812.7,5147.45,4958.36,5277.91,17712.11,5191.83
14,17712.11,5277.91,5191.83,5473.35,17708.73,5392.42
15,17708.73,5473.35,5392.42,5691.7,17696.2,5627.83
16,17696.2,5691.7,5627.83,6088.16,17704.83,6021.02
17,17704.83,6088.16,6021.02,6162.86,17712.19,6089.47
18,17712.19,6162.86,6089.47,6126.17,17783.92,5979.07
19,17783.92,6126.17,5979.07,6074.89,17617.22,6096.65
20,17617.22,6074.89,6096.65,5905.18,17686.76,5853.3
21,17686.76,5905.18,5853.3,5726.57,17701.26,5657.09
22,17701.26,5726.57,5657.09,5485.94,17687.57,5426.86
23,17687.57,5485.94,5426.86,5227.3,17697.67,5154.83
24,17697.67,5227.3,5154.83,4994.09,17674.59,4942.01
25,17674.59,4994.09,4942.01,4848.3,17661.57,4808.19
26,17661.57,4848.3,4808.19,4769.34,17698.51,4690.02
27,17698.51,4769.34,4690.02,4762.17,17666.01,4716.13
28,17666.01,4762.17,4716.13,4808.23,17696.75,4732.05
29,17696.75,4808.23,4732.05,5005.33,17698.83,4929.02
30,17698.83,5005.33,4929.02,5430.06,17726.36,5331.83
31,17726.36,5430.06,5331.83,5840.72,17725.98,5748.9
32,17725.98,5840.72,5748.9,5925.23,17848.68,5710.21
33,17848.68,5925.23,5710.21,5803.91,18221.53,5210.71
34,18221.53,5803.91,5210.71,5699.08,18459.82,4863.03
35,18459.82,5699.08,4863.03,5620.37,18612.8,4631.01
36,18612.8,5620.37,4631.01,5617.64,18426.1,4815.73
37,18426.1,5617.64,4815.73,5649.65,18153.4,5122.34
38,18153.4,5649.65,5122.34,5738.79,17843.84,5526.1
39,17843.84,5738.79,5526.1,5946.56,17688.96,5893.59
40,17688.96,5946.56,5893.59,6142.6,17722.61,6059.16
41,17722.61,6142.6,6059.16,6449.78,17736.37,6358.22
42,17736.37,6449.78,6358.22,6498.37,17655.24,6489.31
43,17655.24,6498.37,6489.31,6416.27,17686.14,6374.11
44,17686.14,6416.27,6374.11,6315.42,17708.3,6249.15
45,17708.3,6315.42,6249.15,6199.06,17789.65,6048.47
46,17789.65,6199.06,6048.47,5911.4,17681.08,5866.07
47,17681.08,5911.4,5866.07,5616.61,17735.49,5510.55
48,17735.49,5616.61,5510.55,5303.03,17751.62,5176.12
49,17751.62,5303.03,5176.12,5112.17,17717.57,5018.55
50,17717.57,5112.17,5018.55,4932.56,17768.7,4784.72
51,17768.7,4932.56,4784.72,4866.4,17699.7,4787.81
52,17699.7,4866.4,4787.81,4796.51,17678.68,4738.11
53,17678.68,4796.51,4738.11,4869.56,17718.84,4771.9
54,17718.84,4869.56,4771.9,5076.79,17714.78,4985.26
55,17714.78,5076.79,4985.26,5501.71,17647.1,5483.66
56,17647.1,5501.71,5483.66,5839.87,17792.51,5680.47
57,17792.51,5839.87,5680.47,5975.9,18039.06,5570.34
