hour_index,L1_t,S1_t,L2_t,S2_t,L3_t,S3_t,L4_t,S4_t,L5_t,S5_t,L6_t,S6_t,L7_t,S7_t,L8_t,S8_t,L9_t,S9_t,L10_t,S10_t,L11_t,S11_t,L12_t,S12_t,L13_t,S13_t,L14_t,S14_t,L15_t,S15_t,L16_t,S16_t,L17_t,S17_t,L18_t,S18_t,L19_t,S19_t,L20_t,S20_t,L21_t,S21_t,L22_t,S22_t,L23_t,S23_t,L24_t,S24_t,L25_t,S25_t,L26_t,S26_t,L27_t,S27_t,L28_t,S28_t,L29_t,S29_t,L30_t,S30_t,L31_t,S31_t,L32_t,S32_t,L33_t,S33_t,L34_t,S34_t,L35_t,S35_t,L36_t,S36_t,L37_t,S37_t,L38_t,S38_t,L39_t,S39_t,G1_t,G2_t,G3_t,G4_t,G5_t,G6_t,G7_t,G8_t,G9_t,G10_t,L1_t+1_pre,S1_t+1_pre,L2_t+1_pre,S2_t+1_pre,L3_t+1_pre,S3_t+1_pre,L4_t+1_pre,S4_t+1_pre,L5_t+1_pre,S5_t+1_pre,L6_t+1_pre,S6_t+1_pre,L7_t+1_pre,S7_t+1_pre,L8_t+1_pre,S8_t+1_pre,L9_t+1_pre,S9_t+1_pre,L10_t+1_pre,S10_t+1_pre,L11_t+1_pre,S11_t+1_pre,L12_t+1_pre,S12_t+1_pre,L13_t+1_pre,S13_t+1_pre,L14_t+1_pre,S14_t+1_pre,L15_t+1_pre,S15_t+1_pre,L16_t+1_pre,S16_t+1_pre,L17_t+1_pre,S17_t+1_pre,L18_t+1_pre,S18_t+1_pre,L19_t+1_pre,S19_t+1_pre,L20_t+1_pre,S20_t+1_pre,L21_t+1_pre,S21_t+1_pre,L22_t+1_pre,S22_t+1_pre,L23_t+1_pre,S23_t+1_pre,L24_t+1_pre,S24_t+1_pre,L25_t+1_pre,S25_t+1_pre,L26_t+1_pre,S26_t+1_pre,L27_t+1_pre,S27_t+1_pre,L28_t+1_pre,S28_t+1_pre,L29_t+1_pre,S29_t+1_pre,L30_t+1_pre,S30_t+1_pre,L31_t+1_pre,S31_t+1_pre,L32_t+1_pre,S32_t+1_pre,L33_t+1_pre,S33_t+1_pre,L34_t+1_pre,S34_t+1_pre,L35_t+1_pre,S35_t+1_pre,L36_t+1_pre,S36_t+1_pre,L37_t+1_pre,S37_t+1_pre,L38_t+1_pre,S38_t+1_pre,L39_t+1_pre,S39_t+1_pre,G1_t+1_res,G2_t+1_res,G3_t+1_res,G4_t+1_res,G5_t+1_res,G6_t+1_res,G7_t+1_res,G8_t+1_res,G9_t+1_res,G10_t+1_res
0,162.29,466.35,1.0,451.0,214.91,455.81,80.1,451.0,1.0,451.0,1.0,451.0,129.93,451.0,136.53,451.0,261.97,451.0,1.0,451.0,1.0,451.0,112.36,451.0,1.0,451.0,1.0,451.0,40.08,451.0,625.47,458.39,1.0,451.0,89.22,464.74,1.0,451.0,214.37,456.63,90.13,451.0,1.0,451.0,67.08,452.62,505.2,451.0,634.65,451.0,324.9,451.0,404.84,465.5,106.99,467.34,217.16,466.67,1.0,451.0,453.6,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,188.17,451.08,523.39,526.78,524.08,408.26,406.36,519.98,517.1,537.19,529.0,524.71,158.52,464.3,1.0,451.0,208.19,451.0,77.4,451.0,1.0,451.0,1.0,451.0,126.01,453.0,132.6,463.34,247.87,451.0,1.0,451.0,1.0,451.0,109.6,451.0,1.0,451.0,1.0,451.0,39.72,468.73,601.53,458.27,1.0,451.0,87.05,451.0,1.0,451.0,208.4,451.0,86.92,451.0,1.0,451.0,64.24,454.07,476.54,454.75,608.58,454.33,309.11,454.81,388.02,451.0,104.98,461.23,208.23,451.0,1.0,451.0,434.29,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,184.95,457.66,500.13,503.02,500.55,408.09,406.19,496.75,494.13,513.25,506.34,501.2
1,158.52,464.3,1.0,451.0,208.19,451.0,77.4,451.0,1.0,451.0,1.0,451.0,126.01,453.0,132.6,463.34,247.87,451.0,1.0,451.0,1.0,451.0,109.6,451.0,1.0,451.0,1.0,451.0,39.72,468.73,601.53,458.27,1.0,451.0,87.05,451.0,1.0,451.0,208.4,451.0,86.92,451.0,1.0,451.0,64.24,454.07,476.54,454.75,608.58,454.33,309.11,454.81,388.02,451.0,104.98,461.23,208.23,451.0,1.0,451.0,434.29,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,184.95,457.66,500.13,503.02,500.55,408.09,406.19,496.75,494.13,513.25,506.34,501.2,153.46,462.22,1.0,451.0,204.46,451.0,73.69,464.65,1.0,451.0,1.0,451.0,122.56,455.4,125.87,451.0,237.63,469.41,1.0,451.0,1.0,451.0,106.72,456.81,1.0,451.0,1.0,451.0,39.81,463.56,581.77,451.0,1.0,451.0,85.85,451.0,1.0,451.0,204.55,461.76,83.38,451.0,1.0,451.0,62.61,471.76,469.13,452.09,589.91,472.32,303.09,451.0,381.86,459.12,100.76,451.0,200.87,456.51,1.0,451.0,422.58,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,177.95,463.38,477.3,479.94,477.67,400.73,398.84,474.2,471.78,489.45,483.41,478.04
2,153.46,462.22,1.0,451.0,204.46,451.0,73.69,464.65,1.0,451.0,1.0,451.0,122.56,455.4,125.87,451.0,237.63,469.41,1.0,451.0,1.0,451.0,106.72,456.81,1.0,451.0,1.0,451.0,39.81,463.56,581.77,451.0,1.0,451.0,85.85,451.0,1.0,451.0,204.55,461.76,83.38,451.0,1.0,451.0,62.61,471.76,469.13,452.09,589.91,472.32,303.09,451.0,381.86,459.12,100.76,451.0,200.87,456.51,1.0,451.0,422.58,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,177.95,463.38,477.3,479.94,477.67,400.73,398.84,474.2,471.78,489.45,483.41,478.04,152.92,451.0,1.0,451.0,204.98,468.72,72.29,451.0,1.0,451.0,1.0,451.0,121.45,451.0,126.96,456.31,231.94,462.35,1.0,451.0,1.0,451.0,106.41,468.72,1.0,451.0,1.0,451.0,38.57,465.32,569.15,451.0,1.0,451.0,83.68,451.0,1.0,451.0,203.54,451.0,83.76,462.66,1.0,451.0,61.87,470.49,468.02,459.26,581.36,451.0,300.17,468.99,373.6,468.94,98.59,469.67,200.29,451.0,1.0,451.0,422.52,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,171.72,469.75,465.16,467.75,465.5,405.56,403.67,461.88,459.6,477.06,470.51,466.03
3,152.92,451.0,1.0,451.0,204.98,468.72,72.29,451.0,1.0,451.0,1.0,451.0,121.45,451.0,126.96,456.31,231.94,462.35,1.0,451.0,1.0,451.0,106.41,468.72,1.0,451.0,1.0,451.0,38.57,465.32,569.15,451.0,1.0,451.0,83.68,451.0,1.0,451.0,203.54,451.0,83.76,462.66,1.0,451.0,61.87,470.49,468.02,459.26,581.36,451.0,300.17,468.99,373.6,468.94,98.59,469.67,200.29,451.0,1.0,451.0,422.52,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,171.72,469.75,465.16,467.75,465.5,405.56,403.67,461.88,459.6,477.06,470.51,466.03,156.22,451.0,1.0,451.0,204.69,451.97,70.33,472.46,1.0,451.0,1.0,451.0,119.52,466.03,126.31,451.0,231.19,461.42,1.0,451.0,1.0,451.0,105.32,466.09,1.0,451.0,1.0,451.0,39.07,455.93,563.94,451.0,1.0,451.0,86.26,451.0,1.0,451.0,205.16,468.42,83.89,456.17,1.0,451.0,62.11,451.0,464.97,473.16,583.14,470.08,301.74,465.28,374.64,464.73,99.47,451.0,198.33,451.0,1.0,451.0,424.23,454.18,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,171.71,460.65,467.66,470.03,467.8,397.66,395.77,464.57,462.3,479.33,473.48,468.57
4,156.22,451.0,1.0,451.0,204.69,451.97,70.33,472.46,1.0,451.0,1.0,451.0,119.52,466.03,126.31,451.0,231.19,461.42,1.0,451.0,1.0,451.0,105.32,466.09,1.0,451.0,1.0,451.0,39.07,455.93,563.94,451.0,1.0,451.0,86.26,451.0,1.0,451.0,205.16,468.42,83.89,456.17,1.0,451.0,62.11,451.0,464.97,473.16,583.14,470.08,301.74,465.28,374.64,464.73,99.47,451.0,198.33,451.0,1.0,451.0,424.23,454.18,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,171.71,460.65,467.66,470.03,467.8,397.66,395.77,464.57,462.3,479.33,473.48,468.57,163.37,452.05,1.0,451.0,209.7,451.0,70.64,451.0,1.0,451.0,1.0,451.0,121.08,454.89,127.3,456.47,231.67,472.73,1.0,451.0,1.0,451.0,105.58,451.0,1.0,451.0,1.0,451.0,38.78,473.5,565.4,466.28,1.0,451.0,86.97,451.0,1.0,451.0,202.39,465.94,83.08,473.24,1.0,451.0,62.65,451.0,466.92,455.87,591.99,451.0,300.71,451.0,376.91,451.0,100.78,454.95,205.03,460.79,1.0,451.0,421.64,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,172.13,451.0,477.73,480.22,477.93,397.52,395.63,474.08,471.73,490.37,483.72,478.65
5,163.37,452.05,1.0,451.0,209.7,451.0,70.64,451.0,1.0,451.0,1.0,451.0,121.08,454.89,127.3,456.47,231.67,472.73,1.0,451.0,1.0,451.0,105.58,451.0,1.0,451.0,1.0,451.0,38.78,473.5,565.4,466.28,1.0,451.0,86.97,451.0,1.0,451.0,202.39,465.94,83.08,473.24,1.0,451.0,62.65,451.0,466.92,455.87,591.99,451.0,300.71,451.0,376.91,451.0,100.78,454.95,205.03,460.79,1.0,451.0,421.64,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,172.13,451.0,477.73,480.22,477.93,397.52,395.63,474.08,471.73,490.37,483.72,478.65,160.19,451.0,1.0,451.0,215.8,451.0,74.26,471.55,1.0,451.0,1.0,451.0,125.7,451.0,132.14,451.0,239.84,451.0,1.0,451.0,1.0,451.0,109.9,451.0,1.0,451.0,1.0,451.0,37.75,460.76,574.49,468.91,1.0,451.0,89.01,451.0,1.0,451.0,206.94,472.37,86.55,451.0,1.0,451.0,63.85,456.05,479.55,451.0,602.42,472.42,310.82,451.0,381.86,451.0,102.49,451.0,210.01,454.63,1.0,451.0,427.05,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,179.87,454.27,494.11,496.87,494.42,396.64,394.75,490.49,487.94,506.41,500.22,495.34
6,160.19,451.0,1.0,451.0,215.8,451.0,74.26,471.55,1.0,451.0,1.0,451.0,125.7,451.0,132.14,451.0,239.84,451.0,1.0,451.0,1.0,451.0,109.9,451.0,1.0,451.0,1.0,451.0,37.75,460.76,574.49,468.91,1.0,451.0,89.01,451.0,1.0,451.0,206.94,472.37,86.55,451.0,1.0,451.0,63.85,456.05,479.55,451.0,602.42,472.42,310.82,451.0,381.86,451.0,102.49,451.0,210.01,454.63,1.0,451.0,427.05,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,179.87,454.27,494.11,496.87,494.42,396.64,394.75,490.49,487.94,506.41,500.22,495.34,165.99,451.0,1.0,451.0,216.58,454.18,80.19,451.0,1.0,451.0,1.0,451.0,128.78,457.51,137.41,453.83,248.2,451.0,1.0,451.0,1.0,451.0,117.04,454.73,1.0,451.0,1.0,451.0,43.73,451.0,587.7,451.09,1.0,451.0,88.02,471.86,1.0,451.0,214.1,462.57,88.83,451.0,1.0,451.0,65.05,451.0,500.36,461.65,620.2,451.0,317.36,451.0,397.74,451.0,103.86,456.06,211.19,451.0,1.0,451.0,439.09,464.94,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,184.8,451.0,513.23,516.15,513.61,405.14,403.24,509.67,506.91,526.92,519.72,514.53
7,165.99,451.0,1.0,451.0,216.58,454.18,80.19,451.0,1.0,451.0,1.0,451.0,128.78,457.51,137.41,453.83,248.2,451.0,1.0,451.0,1.0,451.0,117.04,454.73,1.0,451.0,1.0,451.0,43.73,451.0,587.7,451.09,1.0,451.0,88.02,471.86,1.0,451.0,214.1,462.57,88.83,451.0,1.0,451.0,65.05,451.0,500.36,461.65,620.2,451.0,317.36,451.0,397.74,451.0,103.86,456.06,211.19,451.0,1.0,451.0,439.09,464.94,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,184.8,451.0,513.23,516.15,513.61,405.14,403.24,509.67,506.91,526.92,519.72,514.53,170.45,451.0,1.0,451.0,228.2,466.28,77.75,451.0,1.0,451.0,1.0,451.0,134.29,458.9,141.11,464.81,249.64,451.0,1.0,451.0,1.0,451.0,122.3,451.0,1.0,451.0,1.0,451.0,43.75,453.31,611.63,453.14,1.0,451.0,87.02,451.0,1.0,451.0,217.88,453.87,91.2,466.67,1.0,451.0,68.2,451.27,514.33,451.0,640.11,451.0,326.18,466.6,405.14,470.1,107.65,462.29,221.42,451.0,1.0,451.0,458.52,467.58,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,192.34,454.45,524.84,527.91,525.3,411.42,409.52,521.16,518.3,538.9,531.23,526.14
8,170.45,451.0,1.0,451.0,228.2,466.28,77.75,451.0,1.0,451.0,1.0,451.0,134.29,458.9,141.11,464.81,249.64,451.0,1.0,451.0,1.0,451.0,122.3,451.0,1.0,451.0,1.0,451.0,43.75,453.31,611.63,453.14,1.0,451.0,87.02,451.0,1.0,451.0,217.88,453.87,91.2,466.67,1.0,451.0,68.2,451.27,514.33,451.0,640.11,451.0,326.18,466.6,405.14,470.1,107.65,462.29,221.42,451.0,1.0,451.0,458.52,467.58,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,192.34,454.45,524.84,527.91,525.3,411.42,409.52,521.16,518.3,538.9,531.23,526.14,171.39,451.0,1.0,451.0,222.0,451.0,80.6,451.19,1.0,451.0,1.0,451.0,135.62,451.0,132.32,452.73,252.61,463.79,1.0,451.0,1.0,451.0,119.91,451.0,1.0,451.0,1.0,451.0,44.4,471.21,640.12,458.3,1.0,451.0,87.9,451.0,1.0,451.0,220.01,451.0,90.6,451.0,1.0,451.0,69.49,469.99,512.15,451.0,650.49,451.0,332.06,451.0,413.71,451.0,108.54,451.0,221.94,470.87,1.0,451.0,468.17,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,189.9,451.0,536.94,540.27,537.49,413.94,412.04,533.01,529.93,551.81,543.47,538.03
9,171.39,451.0,1.0,451.0,222.0,451.0,80.6,451.19,1.0,451.0,1.0,451.0,135.62,451.0,132.32,452.73,252.61,463.79,1.0,451.0,1.0,451.0,119.91,451.0,1.0,451.0,1.0,451.0,44.4,471.21,640.12,458.3,1.0,451.0,87.9,451.0,1.0,451.0,220.01,451.0,90.6,451.0,1.0,451.0,69.49,469.99,512.15,451.0,650.49,451.0,332.06,451.0,413.71,451.0,108.54,451.0,221.94,470.87,1.0,451.0,468.17,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,189.9,451.0,536.94,540.27,537.49,413.94,412.04,533.01,529.93,551.81,543.47,538.03,157.39,451.0,1.0,451.0,220.17,451.0,81.31,451.0,1.0,451.0,1.0,451.0,129.55,451.0,116.6,458.48,254.76,460.68,1.0,451.0,1.0,451.0,117.62,469.31,1.0,451.0,1.0,451.0,43.82,471.83,660.15,451.0,1.0,451.0,89.15,472.93,1.0,451.0,221.79,451.0,93.47,451.0,1.0,451.0,67.47,451.0,510.96,471.2,639.56,451.0,328.79,467.77,408.54,462.06,106.97,451.0,219.87,451.0,1.0,451.0,456.91,455.35,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,190.43,473.19,521.17,524.09,521.5,414.83,412.93,518.36,515.5,536.16,528.88,521.76
